"ts_code","symbol","name","area","industry","market","list_date"
"600658.SH","600658","电子城","北京","园区开发","主板","19930524"
"600660.SH","600660","福耀玻璃","福建","汽车配件","主板","19930610"
"600661.SH","600661","昂立教育","上海","文教休闲","主板","19930614"
"600662.SH","600662","强生控股","上海","公共交通","主板","19930614"
"600663.SH","600663","陆家嘴","上海","园区开发","主板","19930628"
"600664.SH","600664","哈药股份","黑龙江","化学制药","主板","19930629"
"600665.SH","600665","天地源","陕西","全国地产","主板","19930709"
"600666.SH","600666","ST瑞德","黑龙江","元器件","主板","19930712"
"600667.SH","600667","太极实业","江苏","半导体","主板","19930728"
"600668.SH","600668","尖峰集团","浙江","水泥","主板","19930728"
"600671.SH","600671","ST目药","浙江","中成药","主板","19930823"
"600673.SH","600673","东阳光","广东","化学制药","主板","19930917"
"600674.SH","600674","川投能源","四川","水力发电","主板","19930924"
"600675.SH","600675","中华企业","上海","区域地产","主板","19930924"
"600676.SH","600676","交运股份","上海","公共交通","主板","19930928"
"600678.SH","600678","四川金顶","四川","水泥","主板","19931008"
"600679.SH","600679","上海凤凰","上海","文教休闲","主板","19931008"
"600681.SH","600681","百川能源","湖北","供气供热","主板","19931018"
"600682.SH","600682","南京新百","江苏","百货","主板","19931018"
"600683.SH","600683","京投发展","浙江","区域地产","主板","19931025"
"600684.SH","600684","珠江股份","广东","全国地产","主板","19931028"
"600685.SH","600685","中船防务","广东","船舶","主板","19931028"
"600686.SH","600686","金龙汽车","福建","汽车整车","主板","19931108"
"600688.SH","600688","上海石化","上海","石油加工","主板","19931108"
"600689.SH","600689","上海三毛","上海","纺织","主板","19931108"
"600690.SH","600690","海尔智家","山东","家用电器","主板","19931119"
"600691.SH","600691","阳煤化工","山西","农药化肥","主板","19931119"
"600692.SH","600692","亚通股份","上海","房产服务","主板","19931119"
"600693.SH","600693","东百集团","福建","百货","主板","19931122"
"600694.SH","600694","大商股份","辽宁","百货","主板","19931122"
"600695.SH","600695","*ST绿庭","上海","多元金融","主板","19931122"
"600696.SH","600696","岩石股份","上海","区域地产","主板","19931206"
"600697.SH","600697","欧亚集团","吉林","百货","主板","19931206"
"600698.SH","600698","湖南天雁","湖南","汽车配件","主板","19931206"
